Player,Batting_Impact,Bowling_Impact,Talent_Score
R Ashwin,3984.6857142857143,1870.0,3138.8114285714287
Nithish Kumar Reddy,5104.059002169197,70.0,3090.435401301518
Harbhajan Singh,4150.37358490566,1500.0,3090.224150943396
OA Shah,4888.562962962962,0.0,2933.137777777777
STR Binny,4690.685714285714,220.0,2902.4114285714286
V Suryavanshi,4716.607692307692,0.0,2829.9646153846147
SA Asnodkar,4662.9,0.0,2797.74
GJ Bailey,4637.3101449275355,0.0,2782.386086956521
D Brevis,4577.282840236687,0.0,2746.369704142012
CJ Anderson,4503.247706422018,110.0,2745.948623853211
RR Rossouw,4475.195015576324,0.0,2685.1170093457945
